Student ID,Field of Study,Current Semester
744312,Civil Engineering,2
148258,Computer Science,4
652290,Chemical Engineering,2
983310,Civil Engineering,2
382938,Mechanical Engineering,1
892339,Mechanical Engineering,2
314250,Chemical Engineering,3
797817,Civil Engineering,3
829690,Electrical Engineering,3
881795,Chemical Engineering,1
372155,Mechanical Engineering,1
268020,Mechanical Engineering,1
859565,Electrical Engineering,1
299783,Computer Science,2
268896,Chemical Engineering,3
148871,Chemical Engineering,4
735681,Chemical Engineering,1
176739,Electrical Engineering,2
919867,Chemical Engineering,1
274635,Chemical Engineering,2
934057,Civil Engineering,2
542278,Civil Engineering,1
279924,Chemical Engineering,2
719475,Mechanical Engineering,4
514951,Mechanical Engineering,3
769534,Computer Science,3
632840,Electrical Engineering,4
705594,Chemical Engineering,2
365107,Mechanical Engineering,1
321337,Electrical Engineering,3
820665,Electrical Engineering,4
296318,Computer Science,1
227286,Computer Science,3
542430,Computer Science,2
196288,Computer Science,4
781076,Electrical Engineering,2
727772,Electrical Engineering,3
893745,Chemical Engineering,2
995738,Mechanical Engineering,1
684398,Mechanical Engineering,3
924931,Computer Science,1
205734,Electrical Engineering,1
267638,Electrical Engineering,2
329766,Civil Engineering,3
406761,Chemical Engineering,2
959961,Mechanical Engineering,3
177613,Computer Science,1
488831,Computer Science,2
658976,Computer Science,4
140370,Civil Engineering,4
538492,Electrical Engineering,2
476654,Mechanical Engineering,2
227544,Civil Engineering,2
580194,Civil Engineering,2
648786,Chemical Engineering,1
464643,Computer Science,4
581977,Civil Engineering,1
450268,Computer Science,1
540421,Electrical Engineering,2
485417,Mechanical Engineering,4
706413,Mechanical Engineering,2
723561,Chemical Engineering,3
364588,Computer Science,4
468604,Electrical Engineering,1
721032,Mechanical Engineering,3
677757,Mechanical Engineering,3
577908,Electrical Engineering,1
730873,Civil Engineering,2
144476,Mechanical Engineering,2
431460,Chemical Engineering,1
884871,Computer Science,4
980406,Computer Science,2
186328,Electrical Engineering,1
206456,Civil Engineering,2
704441,Chemical Engineering,3
543045,Civil Engineering,4
746447,Chemical Engineering,1
122265,Mechanical Engineering,2
197627,Electrical Engineering,4
176672,Civil Engineering,1
601395,Electrical Engineering,2
661424,Chemical Engineering,2
812997,Computer Science,1
413422,Electrical Engineering,4
674865,Civil Engineering,1
788806,Electrical Engineering,2
153003,Electrical Engineering,4
744357,Electrical Engineering,2
620913,Computer Science,4
322335,Computer Science,2
296324,Computer Science,3
230051,Computer Science,4
452767,Mechanical Engineering,1
321728,Computer Science,4
266890,Computer Science,3
286797,Civil Engineering,4
370795,Chemical Engineering,2
887673,Mechanical Engineering,4
268954,Electrical Engineering,2
194408,Civil Engineering,3
894403,Mechanical Engineering,1
403684,Mechanical Engineering,1
488042,Electrical Engineering,3
389139,Electrical Engineering,1
205632,Computer Science,3
783479,Civil Engineering,2
529856,Chemical Engineering,4
631015,Electrical Engineering,4
456129,Electrical Engineering,3
696435,Mechanical Engineering,4
729591,Civil Engineering,2
811661,Electrical Engineering,3
388230,Computer Science,2
722222,Electrical Engineering,3
851897,Chemical Engineering,4
601944,Chemical Engineering,1
469351,Mechanical Engineering,4
960870,Electrical Engineering,3
335654,Computer Science,4
527272,Chemical Engineering,4
874270,Civil Engineering,1
843495,Civil Engineering,4
506393,Computer Science,1
122444,Chemical Engineering,3
809361,Chemical Engineering,3
591106,Electrical Engineering,3
372280,Mechanical Engineering,1
408988,Chemical Engineering,3
769748,Electrical Engineering,4
148650,Chemical Engineering,2
558343,Electrical Engineering,1
989792,Electrical Engineering,2
731141,Civil Engineering,1
297758,Computer Science,1
150807,Mechanical Engineering,4
545523,Computer Science,1
246513,Mechanical Engineering,2
207784,Computer Science,1
719522,Computer Science,3
640723,Mechanical Engineering,3
493398,Electrical Engineering,1
488209,Computer Science,1
640899,Mechanical Engineering,1
692637,Electrical Engineering,2
276524,Electrical Engineering,4
309989,Civil Engineering,1
296166,Computer Science,3
152994,Mechanical Engineering,4
654405,Computer Science,4
435908,Computer Science,4
752968,Mechanical Engineering,4
894710,Mechanical Engineering,1
892369,Electrical Engineering,4
610583,Mechanical Engineering,2
518567,Civil Engineering,2
245814,Chemical Engineering,3
815151,Civil Engineering,4
855707,Chemical Engineering,1
593464,Civil Engineering,2
756528,Mechanical Engineering,1
370722,Electrical Engineering,3
925433,Computer Science,3
312414,Computer Science,2
727207,Computer Science,3
797543,Chemical Engineering,2
837446,Mechanical Engineering,4
583180,Mechanical Engineering,4
376812,Electrical Engineering,4
247703,Civil Engineering,2
120538,Chemical Engineering,1
830551,Electrical Engineering,2
305075,Chemical Engineering,1
190447,Computer Science,3
518219,Electrical Engineering,3
971169,Electrical Engineering,1
841021,Computer Science,4
516731,Civil Engineering,2
540688,Electrical Engineering,1
573875,Electrical Engineering,2
457303,Electrical Engineering,4
467578,Electrical Engineering,4
539034,Electrical Engineering,1
181894,Computer Science,1
677105,Computer Science,3
173288,Chemical Engineering,4
151155,Computer Science,2
213221,Mechanical Engineering,2
332227,Mechanical Engineering,2
728830,Electrical Engineering,1
299122,Electrical Engineering,1
898248,Mechanical Engineering,1
937465,Mechanical Engineering,1
112178,Computer Science,3
661123,Chemical Engineering,3
317340,Chemical Engineering,2
419514,Civil Engineering,4
212233,Mechanical Engineering,3
327506,Computer Science,3
589888,Civil Engineering,4
525100,Mechanical Engineering,2
362257,Computer Science,2
160740,Civil Engineering,2
871426,Computer Science,4
802084,Chemical Engineering,1
528239,Electrical Engineering,4
782189,Chemical Engineering,4
303390,Civil Engineering,3
327622,Chemical Engineering,3
327559,Electrical Engineering,1
821515,Electrical Engineering,3
660984,Computer Science,4
153780,Computer Science,1
471849,Civil Engineering,3
632225,Mechanical Engineering,4
345721,Electrical Engineering,3
280336,Computer Science,1
495448,Computer Science,4
655498,Chemical Engineering,1
459279,Computer Science,2
678809,Mechanical Engineering,4
616254,Computer Science,2
773451,Chemical Engineering,1
673709,Civil Engineering,3
592188,Chemical Engineering,4
311480,Computer Science,3
719530,Computer Science,4
301524,Mechanical Engineering,1
634801,Mechanical Engineering,1
970458,Civil Engineering,2
251849,Mechanical Engineering,3
230146,Chemical Engineering,3
624064,Chemical Engineering,3
335783,Mechanical Engineering,2
474198,Chemical Engineering,3
924737,Chemical Engineering,4
419320,Civil Engineering,4
508467,Electrical Engineering,2
613518,Chemical Engineering,4
649349,Chemical Engineering,4
259876,Mechanical Engineering,2
375023,Computer Science,4
176874,Chemical Engineering,1
353261,Electrical Engineering,1
497836,Civil Engineering,4
201317,Civil Engineering,4
994351,Chemical Engineering,3
556001,Mechanical Engineering,2
927111,Electrical Engineering,2
735446,Civil Engineering,3
768400,Electrical Engineering,2
324965,Mechanical Engineering,2
547488,Chemical Engineering,2
463184,Mechanical Engineering,1
470562,Civil Engineering,4
329452,Mechanical Engineering,1
297741,Mechanical Engineering,4
369918,Civil Engineering,4
370559,Civil Engineering,1
274444,Civil Engineering,4
939769,Electrical Engineering,3
921850,Civil Engineering,2
100149,Civil Engineering,2
224757,Computer Science,3
696721,Computer Science,2
467604,Electrical Engineering,2
566229,Computer Science,2
492661,Computer Science,1
176916,Chemical Engineering,4
517504,Electrical Engineering,4
151055,Civil Engineering,4
979612,Electrical Engineering,4
293599,Mechanical Engineering,3
115622,Chemical Engineering,1
403802,Electrical Engineering,1
812426,Mechanical Engineering,3
400023,Computer Science,1
564863,Mechanical Engineering,1
958862,Computer Science,1
912556,Computer Science,4
722524,Electrical Engineering,1
564789,Chemical Engineering,2
895312,Civil Engineering,4
437475,Chemical Engineering,1
260527,Computer Science,1
873650,Mechanical Engineering,2
210178,Computer Science,2
760114,Electrical Engineering,3
679016,Chemical Engineering,3
794587,Electrical Engineering,2
722067,Electrical Engineering,1
823924,Computer Science,3
168764,Computer Science,4
443866,Civil Engineering,3
177191,Mechanical Engineering,3
548552,Computer Science,1
917451,Civil Engineering,2
584915,Computer Science,3
115609,Civil Engineering,1
494702,Civil Engineering,1
860137,Computer Science,2
889122,Civil Engineering,4
750115,Civil Engineering,1
498247,Electrical Engineering,2
507490,Computer Science,2
786454,Chemical Engineering,4
423730,Civil Engineering,2
695899,Civil Engineering,4
495557,Computer Science,3
536884,Mechanical Engineering,4
480914,Mechanical Engineering,3
545055,Electrical Engineering,4
570744,Mechanical Engineering,3
530567,Civil Engineering,3
344145,Chemical Engineering,1
600078,Computer Science,1
664575,Computer Science,3
287657,Civil Engineering,1
945454,Mechanical Engineering,1
105393,Chemical Engineering,1
523956,Mechanical Engineering,3
401546,Computer Science,1
375366,Mechanical Engineering,1
909366,Computer Science,1
807418,Civil Engineering,3
200488,Civil Engineering,4
819051,Mechanical Engineering,2
936319,Computer Science,4
847193,Electrical Engineering,1
201364,Computer Science,2
454134,Chemical Engineering,4
505998,Chemical Engineering,4
723641,Mechanical Engineering,2
340414,Electrical Engineering,4
353461,Civil Engineering,3
756387,Electrical Engineering,1
405796,Civil Engineering,3
263100,Mechanical Engineering,1
664696,Computer Science,3
704875,Chemical Engineering,3
627075,Civil Engineering,1
504088,Civil Engineering,1
285886,Civil Engineering,1
363782,Electrical Engineering,3
594349,Computer Science,1
842329,Computer Science,2
816681,Computer Science,4
278013,Chemical Engineering,3
779558,Civil Engineering,1
554777,Computer Science,4
526109,Civil Engineering,1
835014,Civil Engineering,2
868438,Computer Science,2
442522,Computer Science,4
913340,Electrical Engineering,2
115649,Mechanical Engineering,2
794351,Electrical Engineering,2
749878,Civil Engineering,2
539483,Mechanical Engineering,3
599114,Chemical Engineering,2
436455,Civil Engineering,4
