Student ID,Fees,Discount on Fees
881795,55973,6837
372155,186123,32574
268020,129188,18283
859565,62800,5291
299783,161593,48
268896,59430,7365
148871,154278,22563
735681,135309,1235
176739,149666,12143
919867,141470,2625
274635,95176,16202
934057,138996,3413
542278,63992,4232
279924,76762,6239
719475,117606,20724
514951,82104,8448
769534,120814,245
632840,107513,16539
705594,170802,22587
365107,122509,2410
321337,91203,8970
820665,63312,9037
296318,187467,29568
227286,167108,5658
542430,60184,4652
196288,77861,3328
781076,178109,11115
727772,192584,25675
893745,143270,22407
995738,117915,4759
684398,132419,24263
924931,57653,9181
205734,66963,1106
267638,142057,12569
329766,82507,2335
406761,162745,4716
959961,59778,10528
177613,153373,27391
488831,109141,18474
658976,105982,3579
140370,196269,32431
538492,187183,3583
476654,136989,20163
227544,135968,7960
580194,141354,23126
648786,75127,10041
464643,95224,5811
581977,110475,20159
450268,110181,2079
540421,82860,6006
485417,153304,2015
706413,98943,13728
723561,85792,2465
364588,62038,6859
468604,72476,11910
721032,100001,12170
677757,63925,5234
577908,77018,4296
730873,197917,13505
144476,184011,11359
431460,54926,5795
884871,141215,3957
980406,165119,14176
186328,103238,9544
206456,91266,8849
704441,194372,8560
543045,160575,11722
746447,143315,15417
122265,66549,9933
197627,198328,1213
176672,160747,22703
601395,51587,4115
661424,75688,3511
812997,93615,3383
413422,88998,10590
674865,163880,740
788806,102993,11883
153003,177002,14185
744357,153644,15824
620913,153103,4719
322335,134459,1901
296324,163493,2459
230051,52188,3436
452767,158486,30297
321728,72155,13683
266890,182976,7407
286797,67724,11619
370795,143066,13720
887673,66731,2413
268954,66332,2720
194408,142356,21364
894403,113005,493
403684,144396,15039
488042,145341,24641
389139,89435,6463
205632,179521,33289
783479,54772,10648
529856,124488,5602
631015,100908,3799
456129,156399,6548
696435,90057,11934
729591,106132,14065
811661,110310,13513
388230,62778,1492
722222,92521,1058
851897,130123,10539
601944,186031,15909
469351,92751,3668
960870,164390,11883
335654,59988,1547
527272,155345,747
874270,91734,11413
843495,94373,10334
506393,194427,26237
122444,162958,29892
809361,171949,10521
591106,119483,1221
372280,57660,4072
408988,186144,8069
769748,90697,15807
148650,86311,16572
558343,162107,22802
989792,138432,15479
731141,122352,9339
297758,165465,31198
150807,103627,19145
545523,111319,4342
246513,94632,14338
207784,183450,33258
719522,191924,1353
640723,55801,1672
493398,50466,3467
488209,63039,11368
640899,155877,12464
692637,185644,12774
276524,107722,6253
309989,176470,34685
296166,167531,5491
152994,105496,17295
654405,180645,13216
435908,151781,21946
752968,156734,6041
894710,174645,28776
892369,164800,30425
610583,79456,6568
518567,158424,8698
245814,169168,11816
815151,99665,17750
855707,190124,17303
593464,88347,11407
756528,139808,10627
370722,187299,25879
925433,135326,19245
312414,110281,3404
727207,53382,539
797543,108636,4949
837446,67941,8025
583180,119223,12583
376812,93400,6834
247703,59317,5841
120538,71359,3857
830551,133135,22579
305075,189152,37533
190447,111166,1498
518219,96765,6037
971169,100085,2846
841021,61867,174
516731,118386,12336
540688,114608,3438
573875,198692,20352
457303,190049,29865
467578,131333,22182
539034,86601,3438
181894,130301,6346
677105,106617,5925
173288,114511,22170
151155,119821,4707
213221,93831,8551
332227,131168,24446
728830,109922,14792
299122,141593,14505
898248,146683,5690
937465,168100,5109
112178,184030,16520
661123,64036,1487
317340,86223,16892
419514,60062,5559
212233,178477,12469
327506,96390,18874
589888,80810,12514
525100,70210,5238
362257,107563,16204
160740,191097,11286
871426,192980,35139
802084,154476,11717
528239,193948,38739
782189,94330,12309
303390,98245,407
327622,104654,2341
327559,156272,15812
821515,188605,1662
660984,94924,6218
153780,193374,6864
471849,162678,6221
632225,165271,9580
345721,87495,6067
280336,158989,10782
495448,74074,4136
655498,73682,14657
459279,186201,29942
678809,108150,14216
616254,82168,10393
773451,106636,2788
673709,162683,24307
592188,110432,15797
311480,144716,17575
719530,129866,10707
301524,82772,4960
634801,72845,2751
970458,51462,1625
251849,113951,5410
230146,199431,19158
624064,186921,181
335783,163119,31150
474198,146101,6056
924737,176783,31858
419320,184241,33259
508467,195103,5225
613518,140645,12377
649349,196639,12301
259876,100990,6767
375023,190682,29824
176874,58871,8444
353261,84770,5886
497836,193937,36585
201317,148412,1709
994351,76044,607
556001,122494,21473
927111,62028,1183
735446,60110,246
768400,63412,4651
324965,69402,10017
547488,72590,8608
463184,134748,13005
470562,161435,14661
329452,183060,10249
297741,149996,17694
369918,51818,9147
370559,160689,14538
274444,101988,7323
939769,178852,28976
921850,87129,1392
100149,142089,22249
224757,60279,12024
696721,89095,14166
467604,100068,11763
566229,193377,6069
492661,125160,10863
176916,75638,385
517504,149713,8238
151055,118904,14045
979612,68845,6309
293599,64586,2866
115622,144150,2218
403802,155894,15849
812426,188806,29463
400023,52417,1266
564863,67439,4568
958862,165008,7139
912556,146740,15610
722524,118439,14043
564789,160462,2979
895312,170342,30597
437475,51935,9929
260527,109338,14733
873650,124184,6792
210178,64833,7
760114,182621,24378
679016,186741,34932
794587,141487,24457
722067,131981,16568
823924,103194,16053
168764,63794,7443
443866,150889,8027
177191,81891,2388
548552,137481,25856
917451,175860,11780
584915,141671,27297
115609,100493,3916
494702,137128,24992
860137,189340,10748
889122,106157,15960
750115,183835,20565
498247,123935,14520
507490,63806,1095
786454,54931,3479
423730,67200,5019
695899,60935,8350
495557,173113,13380
536884,61492,11017
480914,110752,18893
545055,99806,14784
570744,175358,23962
530567,50294,5253
344145,59976,11110
600078,117462,14637
664575,181279,19817
287657,152314,12727
945454,198386,31658
105393,61316,3499
523956,135856,25853
401546,126561,10197
375366,52990,9767
909366,50046,1704
807418,76034,218
200488,87106,15702
819051,56569,4493
936319,104218,581
847193,160948,9529
201364,117194,14300
454134,142010,4899
505998,62683,5406
723641,135350,12009
340414,105220,12218
353461,65082,10429
756387,199700,37524
405796,178351,2123
263100,80015,11489
664696,73075,8804
704875,50722,4961
627075,93490,15265
504088,70570,7843
285886,95929,5010
363782,155779,1690
594349,179472,28718
842329,91768,8160
816681,73479,7618
278013,121241,1282
779558,190801,28360
554777,171012,29911
526109,121148,3931
835014,160994,23288
868438,157056,21225
442522,186925,36890
913340,106086,12615
115649,193236,14274
794351,108987,20122
749878,117616,14892
539483,180780,2349
599114,146690,24956
436455,57863,3481
